Timestamp,Score,Koliko godina imate?,Spol?,Koji je vaš trenutni status zaposlenja?,Stepen obrazovanja?,Koliko je važno za vas članstvo Bosne i Hercegovine u Europskoj uniji?,Koliko ste upoznati s procesom pridruživanja Bosne i Hercegovine Europskoj uniji?,Koliko biste ocijenili trenutnu razinu podrške stanovništva Bosne i Hercegovine za članstvo u Europskoj uniji?,Koliko ste zadovoljni trenutnom razinom transparentnosti i odgovornosti vlasti u Bosni i Hercegovini u procesu pridruživanja Europskoj uniji?,Koliko smatrate da će članstvo u Europskoj uniji poboljšati kvalitetu života građana Bosne i Hercegovine?,"Na skali od 1 do 5, koliko ste optimistični u vezi s budućnošću Bosne i Hercegovine kao članice Europske unije?",Koliko smatrate da će članstvo Bosne i Hercegovine u Europskoj uniji poboljšati ekonomsku situaciju?,"Na skali od 1 do 5, koliko ste zadovoljni dosadašnjim napretkom Bosne i Hercegovine u procesu pridruživanja Europskoj uniji?",Koliko često pratite vijesti ili informacije o procesu pridruživanja Bosne i Hercegovine Europskoj uniji?,Koliko smatrate da je trenutna politička situacija u Bosni i Hercegovini povoljna za proces pridruživanja Europskoj uniji?,Vjerujete li da će članstvo u Europskoj uniji donijeti većoj stabilnosti i sigurnosti Bosni i Hercegovini?,Kako biste ocijenili dosadašnju razinu političke volje i angažmana vlasti u Bosni i Hercegovini u procesu pridruživanja Europskoj uniji?,Koliko vjerujete da će članstvo u Europskoj uniji unaprijediti političku stabilnost u Bosni i Hercegovini?,Koliko je važno za vas da Bosna i Hercegovina postane članica Europske unije u sljedećih 5 godina?,Smatrate li da će članstvo u Europskoj uniji utjecati na nacionalni identitet Bosne i Hercegovine?,Koliko smatrate da su građani Bosne i Hercegovine informisani o procesu pridruživanja Europskoj uniji?,Koliko smatrate da će članstvo u Europskoj uniji utjecati na otvaranje novih radnih mjesta u Bosni i Hercegovini?,"Na skali od 1 do 5, koliko vjerujete da su trenutni politički lideri sposobni provesti reforme potrebne za članstvo Bosne i Hercegovine u Europskoj uniji?","Koliko smatrate da će članstvo u Europskoj uniji poboljšati kvalitetu javnih usluga (zdravstvo, obrazovanje, javna infrastruktura) u Bosni i Hercegovini?",Koliko smatrate da će članstvo Bosne i Hercegovine u Europskoj uniji poboljšati sudsku situaciju u zemlji?,Da li ste za to da se Bosna i Hercegovina pridruži Europskoj Uniji?
31/05/2024 23:30:28,,18-24,Žensko,Student,Srednja škola,Vrlo važno,2,3,2,4,5,3,2,Jednom sedmično,3,Potpuno vjerujem,Vrlo visoka,Potpuno vjerujem,Vrlo važno,Značajno će ga promijeniti,2,Značajno će povećati broj radnih mjesta,2,Značajno će poboljšati,Značajno poboljšati,DA
31/05/2024 23:32:12,,18-24,Muško,Student,Srednja škola,Ni važno ni nevažno,4,4,2,2,2,3,2,Rijetklo,2,Djelomično vjerujem,Umjerena,Djelomično vjerujem,Prilično važno,Neće imati utjecaja,3,Donekle će povećati broj radnih mjesta,1,Donekle će poboljšati,Blago poboljšati,DA
31/05/2024 23:32:43,,18-24,Muško,Student,Srednja škola,Nimalo važno,3,3,3,2,3,3,1,Rijetklo,1,Neutralan(a),Umjerena,Potpuno vjerujem,Ni važno ni nevažno,Značajno će ga promijeniti,2,Značajno će smanjiti broj radnih mjesta,5,Donekle će poboljšati,Neće utjecati,NE
31/05/2024 23:33:18,,18-24,Žensko,Student,Srednja škola,Prilično važno,3,2,2,3,2,3,2,Jednom sedmično,2,Neutralan(a),Niska,Djelomično ne vjerujem,Malo važno,Donekle će ga očuvati,3,Donekle će povećati broj radnih mjesta,3,Neće imati utjecaja,Neće utjecati,DA
31/05/2024 23:33:29,,18-24,Žensko,Student,Srednja škola,Ni važno ni nevažno,1,3,1,3,2,3,2,Rijetklo,3,Djelomično vjerujem,Niska,Neutralan(a),Ni važno ni nevažno,Neće imati utjecaja,2,Donekle će smanjiti broj radnih mjesta,1,Donekle će poboljšati,Blago poboljšati,DA
31/05/2024 23:34:16,,18-24,Ne želim odgovoriti,Zaposlen(a) na pola radnog vremena,Viša škola/Fakultet,Ni važno ni nevažno,3,3,3,3,3,4,3,Svaki dan,3,Neutralan(a),Umjerena,Neutralan(a),Ni važno ni nevažno,Neće imati utjecaja,3,Neće imati utjecaja,3,Neće imati utjecaja,Neće utjecati,DA
31/05/2024 23:34:28,,18-24,Muško,Student,Srednja škola,Ni važno ni nevažno,1,2,2,4,3,4,4,Gotovo nikad,2,Djelomično vjerujem,Umjerena,Djelomično vjerujem,Malo važno,Neće imati utjecaja,1,Donekle će povećati broj radnih mjesta,1,Značajno će poboljšati,Blago poboljšati,DA
31/05/2024 23:34:48,,25-34,Muško,Zaposlen(a) na pola radnog vremena,Viša škola/Fakultet,Prilično važno,3,2,4,2,4,5,1,Jednom sedmično,5,Uopće ne vjerujem,Niska,Djelomično vjerujem,Ni važno ni nevažno,Značajno će ga očuvati,2,Donekle će povećati broj radnih mjesta,4,Donekle će poboljšati,Blago poboljšati,DA
31/05/2024 23:35:25,,45-54,Žensko,Zaposlen(a) na pola radnog vremena,Master,Prilično važno,1,1,1,1,1,1,1,Svaki dan,1,Potpuno vjerujem,Visoka,Neutralan(a),Nimalo važno,Značajno će ga očuvati,1,Neće imati utjecaja,2,Značajno će pogoršati,Neće utjecati,NE
31/05/2024 23:37:34,,18-24,Žensko,Student,Viša škola/Fakultet,Prilično važno,3,1,1,3,3,4,2,Jednom sedmično,1,Neutralan(a),Umjerena,Djelomično vjerujem,Prilično važno,Donekle će ga promijeniti,1,Neće imati utjecaja,2,Donekle će poboljšati,Značajno poboljšati,DA
31/05/2024 23:39:22,,18-24,Žensko,Student,Viša škola/Fakultet,Vrlo važno,2,2,1,4,4,4,2,Nekoliko puta sedmično,2,Djelomično vjerujem,Umjerena,Neutralan(a),Prilično važno,Donekle će ga promijeniti,2,Neće imati utjecaja,3,Donekle će pogoršati,Blago poboljšati,DA
31/05/2024 23:40:29,,18-24,Žensko,Student,Srednja škola,Prilično važno,3,3,2,4,3,5,2,Jednom sedmično,1,Neutralan(a),Umjerena,Neutralan(a),Prilično važno,Donekle će ga očuvati,2,Značajno će povećati broj radnih mjesta,2,Donekle će poboljšati,Značajno poboljšati,DA
31/05/2024 23:41:00,,18-24,Žensko,Student,Viša škola/Fakultet,Vrlo važno,3,3,3,3,3,3,3,Rijetko,5,Potpuno vjerujem,Vrlo visoka,Potpuno vjerujem,Vrlo važno,Donekle će ga promijeniti,2,Značajno će povećati broj radnih mjesta,3,Značajno će poboljšati,Značajno poboljšati,DA
31/05/2024 23:41:10,,18-24,Muško,Student,Srednja škola,Ni važno ni nevažno,1,3,3,3,4,4,2,Gotovo nikad,2,Djelomično vjerujem,Niska,Neutralan(a),Ni važno ni nevažno,Donekle će ga očuvati,2,Donekle će povećati broj radnih mjesta,2,Neće imati utjecaja,Neće utjecati,DA
31/05/2024 23:42:31,,18-24,Žensko,Student,Srednja škola,Vrlo važno,3,2,1,4,3,5,1,Rijetko,1,Djelomično vjerujem,Niska,Potpuno vjerujem,Prilično važno,Donekle će ga promijeniti,2,Značajno će povećati broj radnih mjesta,2,Značajno će poboljšati,Značajno poboljšati,DA
31/05/2024 23:42:34,,25-34,Muško,Zaposlen(a) na puno radno vrijeme,Srednja škola,Prilično važno,3,3,3,4,3,3,2,Rijetko,4,Djelomično vjerujem,Umjerena,Djelomično vjerujem,Ni važno ni nevažno,Značajno će ga očuvati,2,Neće imati utjecaja,2,Donekle će poboljšati,Blago poboljšati,DA
31/05/2024 23:43:08,,18-24,Muško,Student,Srednja škola,Ni važno ni nevažno,2,3,2,3,1,1,3,Rijetko,3,Neutralan(a),Umjerena,Neutralan(a),Ni važno ni nevažno,Neće imati utjecaja,2,Donekle će smanjiti broj radnih mjesta,2,Donekle će pogoršati,Blago pogoršati,NE
31/05/2024 23:44:22,,18-24,Muško,Student,Srednja škola,Ni važno ni nevažno,2,3,3,4,4,4,3,Rijetko,3,Djelomično vjerujem,Niska,Djelomično vjerujem,Malo važno,Neće imati utjecaja,2,Neće imati utjecaja,1,Donekle će poboljšati,Blago poboljšati,DA
31/05/2024 23:45:17,,18-24,Žensko,Student,Viša škola/Fakultet,Ni važno ni nevažno,2,3,2,4,4,3,3,Rijetko,4,Neutralan(a),Vrlo visoka,Neutralan(a),Ni važno ni nevažno,Neće imati utjecaja,4,Donekle će smanjiti broj radnih mjesta,2,Donekle će poboljšati,Neće utjecati,DA
